Date : 2020-07-28 13:36:27
Directory : c:\FILES\CURVE\curve
Total : 1534 files,  263355 codes, 82397 comments, 53346 blanks, all 399098 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\FILES\CURVE\curve\test\backup\snapshot_instance.h                                                                  | C++              |         59 |         20 |          8 |         87 |
| c:\FILES\CURVE\curve\test\chunkserver\braft_cli_service2_test.cpp                                                     | C++              |        488 |         48 |         66 |        602 |
| c:\FILES\CURVE\curve\test\chunkserver\braft_cli_service_test.cpp                                                      | C++              |        325 |         36 |         26 |        387 |
| c:\FILES\CURVE\curve\test\chunkserver\chunk_service_test.cpp                                                          | C++              |        699 |         62 |         33 |        794 |
| c:\FILES\CURVE\curve\test\chunkserver\chunk_service_test2.cpp                                                         | C++              |        883 |         84 |         66 |      1,033 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_helper_test.cpp                                                     | C++              |         32 |         23 |          7 |         62 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_service_test.cpp                                                    | C++              |         55 |         25 |         14 |         94 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_snapshot_test.cpp                                                   | C++              |      1,094 |        262 |        136 |      1,492 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_test.cpp                                                            | C++              |         88 |         21 |         27 |        136 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_test_util.cpp                                                       | C++              |        462 |         40 |         53 |        555 |
| c:\FILES\CURVE\curve\test\chunkserver\chunkserver_test_util.h                                                         | C++              |         91 |         98 |         28 |        217 |
| c:\FILES\CURVE\curve\test\chunkserver\cli2_test.cpp                                                                   | C++              |        421 |         62 |         24 |        507 |
| c:\FILES\CURVE\curve\test\chunkserver\cli_test.cpp                                                                    | C++              |        308 |         55 |         22 |        385 |
| c:\FILES\CURVE\curve\test\chunkserver\client.cpp                                                                      | C++              |        135 |         25 |         24 |        184 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\clone_copyer_test.cpp                                                     | C++              |        209 |         53 |         33 |        295 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\clone_core_test.cpp                                                       | C++              |        605 |        130 |         54 |        789 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\clone_manager_test.cpp                                                    | C++              |        114 |         41 |         16 |        171 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\clone_test_util.h                                                         | C++              |        119 |         20 |         23 |        162 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\clone_unittest_main.cpp                                                   | C++              |         12 |         20 |          5 |         37 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\mock_clone_copyer.h                                                       | C++              |         17 |         20 |          9 |         46 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\mock_clone_manager.h                                                      | C++              |         22 |         20 |          9 |         51 |
| c:\FILES\CURVE\curve\test\chunkserver\clone\op_request_test.cpp                                                       | C++              |        796 |        377 |        140 |      1,313 |
| c:\FILES\CURVE\curve\test\chunkserver\concurrent_apply_unittest.cpp                                                   | C++              |        241 |         33 |         58 |        332 |
| c:\FILES\CURVE\curve\test\chunkserver\conf_epoch_file_test.cpp                                                        | C++              |        177 |         29 |         14 |        220 |
| c:\FILES\CURVE\curve\test\chunkserver\copyset_epoch_test.cpp                                                          | C++              |        168 |         29 |         26 |        223 |
| c:\FILES\CURVE\curve\test\chunkserver\copyset_node_manager_test.cpp                                                   | C++              |        256 |         38 |         45 |        339 |
| c:\FILES\CURVE\curve\test\chunkserver\copyset_node_test.cpp                                                           | C++              |        831 |         64 |        119 |      1,014 |
| c:\FILES\CURVE\curve\test\chunkserver\copyset_service_test.cpp                                                        | C++              |        335 |         35 |         53 |        423 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\chunkfilepool_helper.cpp                                              | C++              |         45 |         20 |         10 |         75 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\chunkfilepool_helper.h                                                | C++              |         17 |         20 |          7 |         44 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\chunkfilepool_mock_unittest.cpp                                       | C++              |        844 |         91 |         50 |        985 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\chunkfilepool_unittest.cpp                                            | C++              |        250 |         35 |         40 |        325 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\datastore_mock_unittest.cpp                                           | C++              |      2,855 |        863 |        274 |      3,992 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\datastore_unittest_main.cpp                                           | C++              |         12 |         20 |          5 |         37 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\file_helper_unittest.cpp                                              | C++              |         65 |         24 |         14 |        103 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\mock_chunkfile_pool.h                                                 | C++              |         22 |         20 |          9 |         51 |
| c:\FILES\CURVE\curve\test\chunkserver\datastore\mock_datastore.h                                                      | C++              |         47 |         20 |          9 |         76 |
| c:\FILES\CURVE\curve\test\chunkserver\fake_datastore.h                                                                | C++              |        205 |         21 |         25 |        251 |
| c:\FILES\CURVE\curve\test\chunkserver\heartbeat_helper_test.cpp                                                       | C++              |        144 |         37 |         33 |        214 |
| c:\FILES\CURVE\curve\test\chunkserver\heartbeat_test.cpp                                                              | C++              |        187 |         47 |         47 |        281 |
| c:\FILES\CURVE\curve\test\chunkserver\heartbeat_test_common.cpp                                                       | C++              |        305 |         89 |         53 |        447 |
| c:\FILES\CURVE\curve\test\chunkserver\heartbeat_test_common.h                                                         | C++              |         87 |         80 |         29 |        196 |
| c:\FILES\CURVE\curve\test\chunkserver\heartbeat_test_main.cpp                                                         | C++              |        125 |         38 |         18 |        181 |
| c:\FILES\CURVE\curve\test\chunkserver\inflight_throttle_test.cpp                                                      | C++              |         76 |         23 |         22 |        121 |
| c:\FILES\CURVE\curve\test\chunkserver\metrics_test.cpp                                                                | C++              |        506 |         58 |         62 |        626 |
| c:\FILES\CURVE\curve\test\chunkserver\mock_copyset_node.h                                                             | C++              |         42 |         20 |         11 |         73 |
| c:\FILES\CURVE\curve\test\chunkserver\mock_copyset_node_manager.h                                                     | C++              |         15 |         20 |          7 |         42 |
| c:\FILES\CURVE\curve\test\chunkserver\mock_curve_filesystem_adaptor.h                                                 | C++              |         22 |         20 |          9 |         51 |
| c:\FILES\CURVE\curve\test\chunkserver\mock_node.h                                                                     | C++              |         47 |         20 |         12 |         79 |
| c:\FILES\CURVE\curve\test\chunkserver\multiple_copysets_io_test.cpp                                                   | C++              |        672 |         39 |        112 |        823 |
| c:\FILES\CURVE\curve\test\chunkserver\op_request_test.cpp                                                             | C++              |        607 |         43 |         49 |        699 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_file_service_test.cpp                                        | C++              |        206 |         20 |         20 |        246 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_filesystem_adaptor_mock_unittest.cpp                         | C++              |        181 |         29 |         29 |        239 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_filesystem_adaptor_unittest.cpp                              | C++              |        198 |         32 |         31 |        261 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_snapshot_attachment_test.cpp                                 | C++              |         57 |         23 |         13 |         93 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_snapshot_storage_test.cpp                                    | C++              |        752 |         90 |        113 |        955 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\curve_snapshot_writer_test.cpp                                     | C++              |         23 |         20 |          7 |         50 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\mock_file_reader.h                                                 | C++              |         24 |         20 |          8 |         52 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\mock_snapshot_attachment.h                                         | C++              |         21 |         20 |          8 |         49 |
| c:\FILES\CURVE\curve\test\chunkserver\raftsnapshot\raftsnapshot_chunkfilepool_integration.cpp                         | C++              |        322 |         89 |         44 |        455 |
| c:\FILES\CURVE\curve\test\chunkserver\server.cpp                                                                      | C++              |        174 |         23 |         26 |        223 |
| c:\FILES\CURVE\curve\test\chunkserver\trash_test.cpp                                                                  | C++              |        435 |         23 |         52 |        510 |
| c:\FILES\CURVE\curve\test\client\backoff_test.cpp                                                                     | C++              |         92 |         20 |         19 |        131 |
| c:\FILES\CURVE\curve\test\client\client_common_unittest.cpp                                                           | C++              |         34 |         26 |         13 |         73 |
| c:\FILES\CURVE\curve\test\client\client_mdsclient_metacache_unittest.cpp                                              | C++              |      1,838 |        126 |        497 |      2,461 |
| c:\FILES\CURVE\curve\test\client\client_metric_test.cpp                                                               | C++              |        264 |         31 |         70 |        365 |
| c:\FILES\CURVE\curve\test\client\client_session_unittest.cpp                                                          | C++              |        350 |         56 |         87 |        493 |
| c:\FILES\CURVE\curve\test\client\client_unittest_main.cpp                                                             | C++              |         53 |         20 |         12 |         85 |
| c:\FILES\CURVE\curve\test\client\client_unstable_helper_test.cpp                                                      | C++              |         75 |         27 |         20 |        122 |
| c:\FILES\CURVE\curve\test\client\client_userifo_unittest.cpp                                                          | C++              |        366 |         80 |         62 |        508 |
| c:\FILES\CURVE\curve\test\client\copyset_client_test.cpp                                                              | C++              |      3,724 |        186 |        519 |      4,429 |
| c:\FILES\CURVE\curve\test\client\fake\client_workflow_test.cpp                                                        | C++              |        248 |         35 |         40 |        323 |
| c:\FILES\CURVE\curve\test\client\fake\client_workflow_test4snap.cpp                                                   | C++              |        112 |         22 |         20 |        154 |
| c:\FILES\CURVE\curve\test\client\fake\fakeChunkserver.h                                                               | C++              |        264 |         21 |         51 |        336 |
| c:\FILES\CURVE\curve\test\client\fake\fakeMDS.cpp                                                                     | C++              |        324 |         64 |         61 |        449 |
| c:\FILES\CURVE\curve\test\client\fake\fakeMDS.h                                                                       | C++              |        923 |         22 |        184 |      1,129 |
| c:\FILES\CURVE\curve\test\client\fake\mds_workflow_test.cpp                                                           | C++              |         73 |         22 |         18 |        113 |
| c:\FILES\CURVE\curve\test\client\fake\mockMDS.h                                                                       | C++              |        367 |         20 |         88 |        475 |
| c:\FILES\CURVE\curve\test\client\fake\mock_schedule.cpp                                                               | C++              |         75 |         38 |         12 |        125 |
| c:\FILES\CURVE\curve\test\client\fake\mock_schedule.h                                                                 | C++              |         47 |         20 |         18 |         85 |
| c:\FILES\CURVE\curve\test\client\file_instance_test.cpp                                                               | C++              |         28 |         24 |         12 |         64 |
| c:\FILES\CURVE\curve\test\client\inflight_rpc_control_test.cpp                                                        | C++              |        319 |         62 |         69 |        450 |
| c:\FILES\CURVE\curve\test\client\iotracker_splitor_unittest.cpp                                                       | C++              |        703 |        139 |        128 |        970 |
| c:\FILES\CURVE\curve\test\client\lease_excutor_test.cpp                                                               | C++              |         63 |         20 |         12 |         95 |
| c:\FILES\CURVE\curve\test\client\libcbd_ext4_test.cpp                                                                 | C++              |        109 |         22 |         39 |        170 |
| c:\FILES\CURVE\curve\test\client\libcbd_libcurve_test.cpp                                                             | C++              |        251 |         29 |         80 |        360 |
| c:\FILES\CURVE\curve\test\client\libcurve_client_unittest.cpp                                                         | C++              |        133 |         25 |         44 |        202 |
| c:\FILES\CURVE\curve\test\client\libcurve_interface_unittest.cpp                                                      | C++              |        526 |        315 |        118 |        959 |
| c:\FILES\CURVE\curve\test\client\mds_failover_test.cpp                                                                | C++              |        223 |         50 |         38 |        311 |
| c:\FILES\CURVE\curve\test\client\mock_chunkservice.h                                                                  | C++              |        147 |         23 |         26 |        196 |
| c:\FILES\CURVE\curve\test\client\mock_curvefs_service.h                                                               | C++              |         19 |         20 |          9 |         48 |
| c:\FILES\CURVE\curve\test\client\mock_file_client.h                                                                   | C++              |         27 |         20 |         10 |         57 |
| c:\FILES\CURVE\curve\test\client\mock_meta_cache.h                                                                    | C++              |         52 |         20 |         15 |         87 |
| c:\FILES\CURVE\curve\test\client\mock_request_context.h                                                               | C++              |         54 |         20 |         13 |         87 |
| c:\FILES\CURVE\curve\test\client\request_scheduler_test.cpp                                                           | C++              |        467 |         36 |         99 |        602 |
| c:\FILES\CURVE\curve\test\client\request_sender_manager_test.cpp                                                      | C++              |         39 |         20 |         12 |         71 |
| c:\FILES\CURVE\curve\test\client\request_sender_test.cpp                                                              | C++              |         19 |         21 |          7 |         47 |
| c:\FILES\CURVE\curve\test\client\snapshot_service_unittest.cpp                                                        | C++              |        587 |         52 |        102 |        741 |
| c:\FILES\CURVE\curve\test\client\timertask_worker_uinttest.cpp                                                        | C++              |         86 |         21 |         20 |        127 |
| c:\FILES\CURVE\curve\test\common\bitmap_test.cpp                                                                      | C++              |        332 |         45 |         43 |        420 |
| c:\FILES\CURVE\curve\test\common\channel_pool_test.cpp                                                                | C++              |         21 |         24 |          7 |         52 |
| c:\FILES\CURVE\curve\test\common\configuration_test.cpp                                                               | C++              |        267 |         33 |         73 |        373 |
| c:\FILES\CURVE\curve\test\common\count_down_event_test.cpp                                                            | C++              |        166 |         31 |         42 |        239 |
| c:\FILES\CURVE\curve\test\common\crc32_test.cpp                                                                       | C++              |         61 |         21 |         15 |         97 |
| c:\FILES\CURVE\curve\test\common\fs_util_test.cpp                                                                     | C++              |         24 |         20 |          6 |         50 |
| c:\FILES\CURVE\curve\test\common\interruptible_sleeper_test.cpp                                                       | C++              |         33 |         20 |          8 |         61 |
| c:\FILES\CURVE\curve\test\common\location_operator_test.cpp                                                           | C++              |         69 |         20 |         23 |        112 |
| c:\FILES\CURVE\curve\test\common\mock_s3_adapter.h                                                                    | C++              |         47 |         26 |          9 |         82 |
| c:\FILES\CURVE\curve\test\common\net_common_test.cpp                                                                  | C++              |         36 |         20 |          5 |         61 |
| c:\FILES\CURVE\curve\test\common\rw_lock_test.cpp                                                                     | C++              |        166 |         22 |         17 |        205 |
| c:\FILES\CURVE\curve\test\common\string_util_test.cpp                                                                 | C++              |         36 |         20 |          8 |         64 |
| c:\FILES\CURVE\curve\test\common\stringstatus_test.cpp                                                                | C++              |         20 |         20 |          8 |         48 |
| c:\FILES\CURVE\curve\test\common\task_thread_pool_test.cpp                                                            | C++              |        186 |         40 |         44 |        270 |
| c:\FILES\CURVE\curve\test\common\test_name_lock.cpp                                                                   | C++              |         58 |         30 |         18 |        106 |
| c:\FILES\CURVE\curve\test\common\wait_interval_test.cpp                                                               | C++              |         21 |         20 |          8 |         49 |
| c:\FILES\CURVE\curve\test\failpoint\failpoint_test.cpp                                                                | C++              |         85 |         48 |         17 |        150 |
| c:\FILES\CURVE\curve\test\failpoint\fiu_local.h                                                                       | C++              |         13 |         35 |          9 |         57 |
| c:\FILES\CURVE\curve\test\fs\ext4_filesystem_test.cpp                                                                 | C++              |        387 |         74 |         40 |        501 |
| c:\FILES\CURVE\curve\test\fs\local_filesystem_unittest.cpp                                                            | C++              |         13 |         20 |          5 |         38 |
| c:\FILES\CURVE\curve\test\fs\localfs_factory_test.cpp                                                                 | C++              |         19 |         21 |          7 |         47 |
| c:\FILES\CURVE\curve\test\fs\mock_local_filesystem.h                                                                  | C++              |         31 |         20 |          9 |         60 |
| c:\FILES\CURVE\curve\test\fs\mock_posix_wrapper.h                                                                     | C++              |         31 |         20 |          9 |         60 |
| c:\FILES\CURVE\curve\test\fs\posix_wrapper_test.cpp                                                                   | C++              |         56 |         20 |         13 |         89 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\chunkserver_basic_test.cpp                                          | C++              |        242 |         78 |         58 |        378 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\chunkserver_clone_recover.cpp                                       | C++              |        852 |        133 |        139 |      1,124 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\chunkserver_concurrent_test.cpp                                     | C++              |      1,148 |        133 |        183 |      1,464 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_basic_test.cpp                                  | C++              |        123 |         40 |         27 |        190 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_clone_case_test.cpp                             | C++              |        309 |         73 |         29 |        411 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_concurrency_test.cpp                            | C++              |         86 |         23 |         25 |        134 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_exception_test.cpp                              | C++              |        801 |        204 |         88 |      1,093 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_integration_base.h                              | C++              |         85 |         23 |         22 |        130 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_integration_main.cpp                            | C++              |         11 |         20 |          5 |         36 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_integration_test.cpp                            | C++              |        263 |         78 |         37 |        378 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_restart_test.cpp                                | C++              |        666 |         91 |        116 |        873 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_snapshot_case_test.cpp                          | C++              |        243 |         74 |         40 |        357 |
| c:\FILES\CURVE\curve\test\integration\chunkserver\datastore\datastore_stress_test.cpp                                 | C++              |         73 |         29 |         18 |        120 |
| c:\FILES\CURVE\curve\test\integration\client\chunkserver_exception_test.cpp                                           | C++              |        331 |        135 |         85 |        551 |
| c:\FILES\CURVE\curve\test\integration\client\common\file_operation.cpp                                                | C++              |         35 |         22 |          9 |         66 |
| c:\FILES\CURVE\curve\test\integration\client\common\file_operation.h                                                  | C++              |         13 |         23 |          6 |         42 |
| c:\FILES\CURVE\curve\test\integration\client\config\client.conf                                                       | Properties       |         32 |         15 |          2 |         49 |
| c:\FILES\CURVE\curve\test\integration\client\config\topo_example.json                                                 | JSON             |         42 |          0 |          2 |         44 |
| c:\FILES\CURVE\curve\test\integration\client\config\topo_example_1.json                                               | JSON             |         42 |          0 |          2 |         44 |
| c:\FILES\CURVE\curve\test\integration\client\config\unstable\topo_unstable.json                                       | JSON             |         69 |          0 |          2 |         71 |
| c:\FILES\CURVE\curve\test\integration\client\config\unstable\topo_unstable_small.json                                 | JSON             |         42 |          0 |          2 |         44 |
| c:\FILES\CURVE\curve\test\integration\client\mds_exception_test.cpp                                                   | C++              |        553 |        220 |        143 |        916 |
| c:\FILES\CURVE\curve\test\integration\client\unstable_chunkserver_exception_test.cpp                                  | C++              |        250 |         41 |         55 |        346 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\build.sh                                                         | Shell Script     |         17 |         17 |          5 |         39 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\cluster.cpp                                                      | C++              |        659 |         48 |         92 |        799 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\cluster.h                                                        | C++              |        115 |        275 |         64 |        454 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\cluster_basic_test.cpp                                           | C++              |        242 |         51 |         40 |        333 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\cluster_common_topo_1.json                                       | JSON             |         51 |          0 |          2 |         53 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\cluster_common_topo_2.json                                       | JSON             |         51 |          0 |          1 |         52 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\generate_network.sh                                              | Shell Script     |         78 |         20 |         20 |        118 |
| c:\FILES\CURVE\curve\test\integration\cluster_common\mds.basic.conf                                                   | Properties       |         59 |        133 |         19 |        211 |
| c:\FILES\CURVE\curve\test\integration\common\chunkservice_op.cpp                                                      | C++              |        438 |         34 |         77 |        549 |
| c:\FILES\CURVE\curve\test\integration\common\chunkservice_op.h                                                        | C++              |         80 |        166 |         29 |        275 |
| c:\FILES\CURVE\curve\test\integration\common\config_generator.h                                                       | C++              |         42 |         22 |         16 |         80 |
| c:\FILES\CURVE\curve\test\integration\common\peer_cluster.cpp                                                         | C++              |        653 |        109 |         69 |        831 |
| c:\FILES\CURVE\curve\test\integration\common\peer_cluster.h                                                           | C++              |        145 |        170 |         43 |        358 |
| c:\FILES\CURVE\curve\test\integration\heartbeat\common.cpp                                                            | C++              |        268 |         34 |         42 |        344 |
| c:\FILES\CURVE\curve\test\integration\heartbeat\common.h                                                              | C++              |        218 |        104 |         39 |        361 |
| c:\FILES\CURVE\curve\test\integration\heartbeat\heartbeat_basic_test.cpp                                              | C++              |      7,064 |      1,379 |        857 |      9,300 |
| c:\FILES\CURVE\curve\test\integration\heartbeat\heartbeat_exception_test.cpp                                          | C++              |        131 |         65 |         23 |        219 |
| c:\FILES\CURVE\curve\test\integration\raft\raft_config_change_test.cpp                                                | C++              |      2,558 |        353 |        319 |      3,230 |
| c:\FILES\CURVE\curve\test\integration\raft\raft_log_replication_test.cpp                                              | C++              |      1,280 |        177 |        130 |      1,587 |
| c:\FILES\CURVE\curve\test\integration\raft\raft_snapshot_test.cpp                                                     | C++              |        500 |        123 |         77 |        700 |
| c:\FILES\CURVE\curve\test\integration\raft\raft_vote_test.cpp                                                         | C++              |      1,393 |        217 |        187 |      1,797 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\config\topo.json                                            | JSON             |         42 |          0 |          3 |         45 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\config\topo2.json                                           | JSON             |         42 |          0 |          3 |         45 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\config\topo3.json                                           | JSON             |         42 |          0 |          3 |         45 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_curvefs_client.cpp                                     | C++              |        309 |         23 |         39 |        371 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_curvefs_client.h                                       | C++              |        110 |         33 |         38 |        181 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_snapshot_data_store.cpp                                | C++              |         77 |         20 |         18 |        115 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_snapshot_data_store.h                                  | C++              |         40 |         20 |         12 |         72 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_snapshotclone_meta_store.cpp                           | C++              |        130 |         20 |         21 |        171 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\fake_snapshotclone_meta_store.h                             | C++              |         34 |         20 |         18 |         72 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshot_test_main.cpp                                      | C++              |          5 |         20 |          6 |         31 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_common_test.cpp                         | C++              |        630 |        162 |        151 |        943 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_concurrent_test.cpp                     | C++              |        606 |         43 |        121 |        770 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_exception_test.cpp                      | C++              |      1,036 |         51 |        393 |      1,480 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_module.cpp                              | C++              |        105 |         21 |         26 |        152 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_module.h                                | C++              |         52 |         20 |         27 |         99 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_recover_test.cpp                        | C++              |      1,574 |         93 |        404 |      2,071 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\snapshotcloneserver_test.cpp                                | C++              |        153 |         27 |         39 |        219 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\test_snapshotcloneserver_helpler.cpp                        | C++              |        399 |         20 |         42 |        461 |
| c:\FILES\CURVE\curve\test\integration\snapshotcloneserver\test_snapshotcloneserver_helpler.h                          | C++              |         76 |         20 |         23 |        119 |
| c:\FILES\CURVE\curve\test\kvstorageclient\etcdclient_test.cpp                                                         | C++              |        410 |         72 |         53 |        535 |
| c:\FILES\CURVE\curve\test\leaderelection\leader_election_test.cpp                                                     | C++              |         58 |         20 |         16 |         94 |
| c:\FILES\CURVE\curve\test\mds\chunkserverclient\mock_chunkserverclient.h                                              | C++              |         37 |         20 |         12 |         69 |
| c:\FILES\CURVE\curve\test\mds\chunkserverclient\test_chunkserver_client.cpp                                           | C++              |        655 |         20 |        125 |        800 |
| c:\FILES\CURVE\curve\test\mds\chunkserverclient\test_copyset_client.cpp                                               | C++              |        318 |         20 |         73 |        411 |
| c:\FILES\CURVE\curve\test\mds\copyset\test_copyset.cpp                                                                | C++              |        238 |         22 |         67 |        327 |
| c:\FILES\CURVE\curve\test\mds\copyset\test_copyset_manager.cpp                                                        | C++              |        105 |         24 |         34 |        163 |
| c:\FILES\CURVE\curve\test\mds\copyset\test_copyset_validation.cpp                                                     | C++              |        201 |         20 |         48 |        269 |
| c:\FILES\CURVE\curve\test\mds\copyset\test_helper.h                                                                   | C++              |         86 |         20 |         25 |        131 |
| c:\FILES\CURVE\curve\test\mds\heartbeat\chunkserver_healthy_checker_test.cpp                                          | C++              |        106 |         28 |          9 |        143 |
| c:\FILES\CURVE\curve\test\mds\heartbeat\common.cpp                                                                    | C++              |         49 |         20 |          7 |         76 |
| c:\FILES\CURVE\curve\test\mds\heartbeat\common.h                                                                      | C++              |         11 |         20 |          7 |         38 |
| c:\FILES\CURVE\curve\test\mds\heartbeat\heartbeat_manager_test.cpp                                                    | C++              |        808 |         49 |         66 |        923 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_alloc_statistic.h                                                             | C++              |         20 |         20 |         10 |         50 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_chunkserver.h                                                                 | C++              |         32 |         20 |         13 |         65 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_coordinator.h                                                                 | C++              |         25 |         20 |         10 |         55 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_etcdclient.h                                                                  | C++              |         45 |         20 |          9 |         74 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_topoAdapter.h                                                                 | C++              |         23 |         20 |          9 |         52 |
| c:\FILES\CURVE\curve\test\mds\mock\mock_topology.h                                                                    | C++              |        203 |         27 |         38 |        268 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\allocstatistic\alloc_statistic_helper_test.cpp                              | C++              |        141 |         28 |         13 |        182 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\allocstatistic\alloc_statistic_test.cpp                                     | C++              |        175 |         33 |         21 |        229 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\chunk_allocator_test.cpp                                                    | C++              |        153 |         30 |         37 |        220 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\clean_core_test.cpp                                                         | C++              |        200 |         34 |         35 |        269 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\clean_task_manager_test.cpp                                                 | C++              |        141 |         35 |         32 |        208 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\curvefs_test.cpp                                                            | C++              |      2,493 |        191 |        452 |      3,136 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\fakes.h                                                                     | C++              |        346 |         20 |         56 |        422 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\file_lock_test.cpp                                                          | C++              |        120 |         34 |         33 |        187 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\file_record_test.cpp                                                        | C++              |         85 |         32 |         32 |        149 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\helper\namespace_helper_test.cpp                                            | C++              |        153 |         29 |         31 |        213 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\idgenerator\chunk_id_generator_test.cpp                                     | C++              |         52 |         20 |         10 |         82 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\idgenerator\etcd_id_generator_test.cpp                                      | C++              |        127 |         23 |         19 |        169 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\idgenerator\inode_id_generator_test.cpp                                     | C++              |         53 |         20 |         10 |         83 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\mock\mock_chunk_allocate.h                                                  | C++              |         17 |         20 |          6 |         43 |
| c:\FILES\CURVE\curve\test\mds\nameserver2\mock\mock_chunk_id_generator.h                                              | C++              |         15 |         20 |          7 |         42 |
