Date : 2020-07-28 13:36:27
Directory : c:\FILES\CURVE\curve
Total : 1534 files,  263355 codes, 82397 comments, 53346 blanks, all 399098 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| include\client                                                                                                        |          1 |        158 |        271 |         61 |        490 |
| include\etcdclient                                                                                                    |          1 |        153 |         39 |         60 |        252 |
| monitor                                                                                                               |         14 |     25,506 |        155 |        158 |     25,819 |
| monitor\grafana                                                                                                       |          9 |     25,117 |         34 |          5 |     25,156 |
| monitor\grafana\dashboards                                                                                            |          7 |     25,102 |          0 |          1 |     25,103 |
| monitor\grafana\provisioning                                                                                          |          2 |         15 |         34 |          4 |         53 |
| monitor\grafana\provisioning\dashboards                                                                               |          1 |          6 |         17 |          2 |         25 |
| monitor\grafana\provisioning\datasources                                                                              |          1 |          9 |         17 |          2 |         28 |
| nbd                                                                                                                   |         31 |      2,867 |      1,045 |        742 |      4,654 |
| nbd\src                                                                                                               |         21 |      2,199 |        845 |        534 |      3,578 |
| nbd\test                                                                                                              |          9 |        607 |        200 |        183 |        990 |
| nebd                                                                                                                  |         88 |      7,753 |      2,585 |      1,841 |     12,179 |
| nebd\etc                                                                                                              |          2 |         16 |         16 |         10 |         42 |
| nebd\etc\nebd                                                                                                         |          2 |         16 |         16 |         10 |         42 |
| nebd\proto                                                                                                            |          3 |        165 |          0 |         31 |        196 |
| nebd\src                                                                                                              |         52 |      4,121 |      1,787 |      1,054 |      6,962 |
| nebd\src\common                                                                                                       |         17 |        738 |        457 |        246 |      1,441 |
| nebd\src\part1                                                                                                        |         13 |      1,057 |        567 |        336 |      1,960 |
| nebd\src\part2                                                                                                        |         22 |      2,326 |        763 |        472 |      3,561 |
| nebd\test                                                                                                             |         31 |      3,451 |        782 |        746 |      4,979 |
| nebd\test\common                                                                                                      |          7 |        547 |        160 |        134 |        841 |
| nebd\test\part1                                                                                                       |          9 |      1,091 |        193 |        278 |      1,562 |
| nebd\test\part2                                                                                                       |         14 |      1,767 |        408 |        317 |      2,492 |
| nebd\test\utils                                                                                                       |          1 |         46 |         21 |         17 |         84 |
| proto                                                                                                                 |         14 |      1,641 |          0 |        300 |      1,941 |
| src                                                                                                                   |        409 |     57,889 |     20,492 |     10,838 |     89,219 |
| src\chunkserver                                                                                                       |         89 |     12,049 |      4,333 |      2,227 |     18,609 |
| src\chunkserver\datastore                                                                                             |         12 |      2,373 |        814 |        337 |      3,524 |
| src\chunkserver\raftsnapshot                                                                                          |         20 |      1,660 |        829 |        323 |      2,812 |
| src\client                                                                                                            |         54 |      8,792 |      3,587 |      1,933 |     14,312 |
| src\common                                                                                                            |         42 |      2,487 |      1,491 |        625 |      4,603 |
| src\common\concurrent                                                                                                 |         12 |        728 |        316 |        201 |      1,245 |
| src\fs                                                                                                                |          7 |        557 |        274 |        127 |        958 |
| src\kvstorageclient                                                                                                   |          2 |        343 |        161 |         70 |        574 |
| src\leader_election                                                                                                   |          2 |         96 |         68 |         36 |        200 |
| src\mds                                                                                                               |        115 |     18,710 |      5,579 |      3,498 |     27,787 |
| src\mds\chunkserverclient                                                                                             |          5 |        559 |        179 |         94 |        832 |
| src\mds\common                                                                                                        |          2 |        103 |         58 |         45 |        206 |
| src\mds\copyset                                                                                                       |          8 |        648 |        308 |        150 |      1,106 |
| src\mds\heartbeat                                                                                                     |         10 |        889 |        443 |        182 |      1,514 |
| src\mds\main                                                                                                          |          1 |         77 |         28 |         27 |        132 |
| src\mds\nameserver2                                                                                                   |         37 |      5,895 |      1,731 |      1,115 |      8,741 |
| src\mds\nameserver2\allocstatistic                                                                                    |          4 |        389 |        219 |         99 |        707 |
| src\mds\nameserver2\helper                                                                                            |          2 |        125 |         40 |         30 |        195 |
| src\mds\nameserver2\idgenerator                                                                                       |          6 |        169 |        146 |         58 |        373 |
| src\mds\schedule                                                                                                      |         26 |      3,435 |      1,645 |        734 |      5,814 |
| src\mds\schedule\scheduleService                                                                                      |          2 |        109 |         40 |         24 |        173 |
| src\mds\server                                                                                                        |          2 |        561 |        235 |        122 |        918 |
| src\mds\topology                                                                                                      |         24 |      6,543 |        952 |      1,029 |      8,524 |
| src\sfs                                                                                                               |          1 |         67 |         20 |         12 |         99 |
| src\snapshotcloneserver                                                                                               |         50 |      8,619 |      2,820 |      1,369 |     12,808 |
| src\snapshotcloneserver\clone                                                                                         |         11 |      2,820 |        781 |        390 |      3,991 |
| src\snapshotcloneserver\common                                                                                        |         22 |      2,099 |        943 |        478 |      3,520 |
| src\snapshotcloneserver\snapshot                                                                                      |         12 |      2,494 |        942 |        367 |      3,803 |
| src\tools                                                                                                             |         47 |      6,169 |      2,159 |        941 |      9,269 |
| test                                                                                                                  |        311 |     97,303 |     15,696 |     16,892 |    129,891 |
| test\backup                                                                                                           |          6 |        469 |        135 |         93 |        697 |
| test\chunkserver                                                                                                      |         61 |     18,573 |      3,807 |      2,388 |     24,768 |
| test\chunkserver\clone                                                                                                |          8 |      1,894 |        681 |        289 |      2,864 |
| test\chunkserver\datastore                                                                                            |          9 |      4,157 |      1,113 |        418 |      5,688 |
| test\chunkserver\raftsnapshot                                                                                         |          9 |      1,784 |        343 |        273 |      2,400 |
| test\client                                                                                                           |         37 |     13,081 |      1,775 |      2,644 |     17,500 |
| test\client\fake                                                                                                      |          9 |      2,433 |        264 |        492 |      3,189 |
| test\common                                                                                                           |         16 |      1,543 |        412 |        334 |      2,289 |
| test\failpoint                                                                                                        |          2 |         98 |         83 |         26 |        207 |
| test\fs                                                                                                               |          6 |        537 |        175 |         83 |        795 |
| test\integration                                                                                                      |         63 |     27,815 |      5,565 |      4,633 |     38,013 |
| test\integration\chunkserver                                                                                          |         13 |      4,902 |        999 |        787 |      6,688 |
| test\integration\chunkserver\datastore                                                                                |         10 |      2,660 |        655 |        407 |      3,722 |
| test\integration\client                                                                                               |         10 |      1,409 |        456 |        308 |      2,173 |
| test\integration\client\common                                                                                        |          2 |         48 |         45 |         15 |        108 |
| test\integration\client\config                                                                                        |          5 |        227 |         15 |         10 |        252 |
| test\integration\client\config\unstable                                                                               |          2 |        111 |          0 |          4 |        115 |
| test\integration\cluster_common                                                                                       |          8 |      1,272 |        544 |        243 |      2,059 |
| test\integration\common                                                                                               |          5 |      1,358 |        501 |        234 |      2,093 |
| test\integration\heartbeat                                                                                            |          4 |      7,681 |      1,582 |        961 |     10,224 |
| test\integration\raft                                                                                                 |          4 |      5,731 |        870 |        713 |      7,314 |
| test\integration\snapshotcloneserver                                                                                  |         19 |      5,462 |        613 |      1,387 |      7,462 |
| test\integration\snapshotcloneserver\config                                                                           |          3 |        126 |          0 |          9 |        135 |
| test\kvstorageclient                                                                                                  |          1 |        410 |         72 |         53 |        535 |
| test\leaderelection                                                                                                   |          1 |         58 |         20 |         16 |         94 |
| test\mds                                                                                                              |         73 |     21,870 |      2,298 |      4,257 |     28,425 |
| test\mds\chunkserverclient                                                                                            |          3 |      1,010 |         60 |        210 |      1,280 |
| test\mds\copyset                                                                                                      |          4 |        630 |         86 |        174 |        890 |
| test\mds\heartbeat                                                                                                    |          4 |        974 |        117 |         89 |      1,180 |
| test\mds\mock                                                                                                         |          6 |        348 |        127 |         89 |        564 |
| test\mds\nameserver2                                                                                                  |         23 |      6,510 |        839 |      1,140 |      8,489 |
| test\mds\nameserver2\allocstatistic                                                                                   |          2 |        316 |         61 |         34 |        411 |
| test\mds\nameserver2\helper                                                                                           |          1 |        153 |         29 |         31 |        213 |
| test\mds\nameserver2\idgenerator                                                                                      |          3 |        232 |         63 |         39 |        334 |
| test\mds\nameserver2\mock                                                                                             |          6 |        142 |        120 |         59 |        321 |
| test\mds\schedule                                                                                                     |         19 |      4,720 |        750 |        598 |      6,068 |
| test\mds\schedule\scheduleService                                                                                     |          1 |         96 |         24 |         20 |        140 |
| test\mds\schedule\schedulerPOC                                                                                        |          2 |      1,041 |        212 |        177 |      1,430 |
| test\mds\server                                                                                                       |          1 |        156 |         39 |         26 |        221 |
| test\mds\topology                                                                                                     |         13 |      7,522 |        280 |      1,931 |      9,733 |
| test\snapshotcloneserver                                                                                              |         13 |      7,983 |        297 |      1,726 |     10,006 |
| test\tools                                                                                                            |         31 |      4,763 |      1,026 |        606 |      6,395 |
| test\tools\config                                                                                                     |          1 |         33 |         81 |         32 |        146 |
| test\util                                                                                                             |          1 |        103 |         31 |         33 |        167 |
| thirdparties                                                                                                          |        486 |     38,977 |     37,804 |     17,136 |     93,917 |
| thirdparties\aws-sdk                                                                                                  |        479 |     29,748 |     37,486 |     16,661 |     83,895 |
| thirdparties\aws-sdk\usr                                                                                              |        479 |     29,748 |     37,486 |     16,661 |     83,895 |
| thirdparties\aws-sdk\usr\include                                                                                      |        479 |     29,748 |     37,486 |     16,661 |     83,895 |
| thirdparties\aws-sdk\usr\include\aws                                                                                  |        479 |     29,748 |     37,486 |     16,661 |     83,895 |
| thirdparties\aws-sdk\usr\include\aws\checksums                                                                        |          3 |         49 |         54 |         17 |        120 |
| thirdparties\aws-sdk\usr\include\aws\common                                                                           |         36 |      2,455 |      2,374 |        749 |      5,578 |
| thirdparties\aws-sdk\usr\include\aws\common\posix                                                                     |          1 |         25 |         14 |          8 |         47 |
| thirdparties\aws-sdk\usr\include\aws\core                                                                             |        129 |      7,561 |      6,437 |      2,342 |     16,340 |
| thirdparties\aws-sdk\usr\include\aws\core\auth                                                                        |          5 |        409 |        411 |        136 |        956 |
| thirdparties\aws-sdk\usr\include\aws\core\client                                                                      |          8 |        466 |        475 |        145 |      1,086 |
| thirdparties\aws-sdk\usr\include\aws\core\config                                                                      |          1 |         87 |         55 |         24 |        166 |
| thirdparties\aws-sdk\usr\include\aws\core\external                                                                    |          2 |      1,362 |        903 |        316 |      2,581 |
| thirdparties\aws-sdk\usr\include\aws\core\external\cjson                                                              |          1 |        152 |         96 |         41 |        289 |
| thirdparties\aws-sdk\usr\include\aws\core\external\tinyxml2                                                           |          1 |      1,210 |        807 |        275 |      2,292 |
| thirdparties\aws-sdk\usr\include\aws\core\http                                                                        |         11 |        795 |        627 |        186 |      1,608 |
| thirdparties\aws-sdk\usr\include\aws\core\http\curl                                                                   |          2 |         83 |         49 |         29 |        161 |
| thirdparties\aws-sdk\usr\include\aws\core\http\standard                                                               |          2 |         74 |         97 |         22 |        193 |
| thirdparties\aws-sdk\usr\include\aws\core\internal                                                                    |          1 |         71 |         59 |         22 |        152 |
| thirdparties\aws-sdk\usr\include\aws\core\monitoring                                                                  |          6 |        155 |        216 |         56 |        427 |
| thirdparties\aws-sdk\usr\include\aws\core\net                                                                         |          2 |         47 |        114 |         24 |        185 |
| thirdparties\aws-sdk\usr\include\aws\core\platform                                                                    |          7 |        137 |        224 |         85 |        446 |
| thirdparties\aws-sdk\usr\include\aws\core\utils                                                                       |         74 |      3,704 |      2,847 |      1,239 |      7,790 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\base64                                                                |          1 |         33 |         32 |         16 |         81 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\crypto                                                                |         16 |        811 |        764 |        296 |      1,871 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\crypto\openssl                                                        |          1 |        169 |        114 |         89 |        372 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\event                                                                 |          8 |        559 |        328 |        112 |        999 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\json                                                                  |          1 |        113 |        211 |         68 |        392 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\logging                                                               |          8 |        345 |        196 |        101 |        642 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\memory                                                                |         15 |        501 |        346 |        230 |      1,077 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\memory\stl                                                            |         13 |        297 |        241 |        179 |        717 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\ratelimiter                                                           |          2 |        148 |         80 |         43 |        271 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\stream                                                                |          4 |        145 |        100 |         51 |        296 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\threading                                                             |          4 |        209 |        120 |         43 |        372 |
| thirdparties\aws-sdk\usr\include\aws\core\utils\xml                                                                   |          1 |         89 |        113 |         21 |        223 |
| thirdparties\aws-sdk\usr\include\aws\event-stream                                                                     |          2 |        231 |        174 |         64 |        469 |
| thirdparties\aws-sdk\usr\include\aws\s3                                                                               |        308 |     18,951 |     28,424 |     13,405 |     60,780 |
| thirdparties\aws-sdk\usr\include\aws\s3\model                                                                         |        302 |     18,008 |     26,388 |     13,088 |     57,484 |
| thirdparties\aws-sdk\usr\include\aws\testing                                                                          |          1 |        501 |         23 |         84 |        608 |
| thirdparties\braft                                                                                                    |          1 |      4,782 |         48 |        229 |      5,059 |
| thirdparties\brpc                                                                                                     |          1 |      2,984 |        107 |        128 |      3,219 |
| thirdparties\etcdclient                                                                                               |          4 |        508 |        143 |         84 |        735 |
| thirdparties\glog                                                                                                     |          1 |        955 |         20 |         34 |      1,009 |
| tools                                                                                                                 |          3 |      1,025 |         46 |        141 |      1,212 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                              | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\ask-a-question.md                                                         | Markdown         |          8 |          0 |          3 |         11 |
| c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\bug_report.md                                                             | Markdown         |         20 |          0 |         10 |         30 |
| c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\feature_request.md                                                        | Markdown         |         11 |          0 |          9 |         20 |
| c:\FILES\CURVE\curve\.gitmodules                                                                                      | Properties       |          0 |          0 |          1 |          1 |
| c:\FILES\CURVE\curve\Dockerfile                                                                                       | Dockerfile       |         15 |          2 |          6 |         23 |
| c:\FILES\CURVE\curve\README.md                                                                                        | Markdown         |         17 |          0 |          8 |         25 |
| c:\FILES\CURVE\curve\conf\client.conf                                                                                 | Properties       |         32 |         72 |         33 |        137 |
| c:\FILES\CURVE\curve\conf\cs_client.conf                                                                              | Properties       |         34 |         76 |         35 |        145 |
| c:\FILES\CURVE\curve\conf\mds.conf                                                                                    | Properties       |         58 |        116 |         17 |        191 |
| c:\FILES\CURVE\curve\conf\py_client.conf                                                                              | Properties       |         32 |         74 |         33 |        139 |
| c:\FILES\CURVE\curve\conf\s3.conf                                                                                     | Properties       |         12 |          5 |          1 |         18 |
| c:\FILES\CURVE\curve\conf\snap_client.conf                                                                            | Properties       |         34 |         76 |         35 |        145 |
| c:\FILES\CURVE\curve\conf\snapshot_clone_server.conf                                                                  | Properties       |         36 |         55 |          7 |         98 |
| c:\FILES\CURVE\curve\conf\tools.conf                                                                                  | Properties       |          7 |          7 |          1 |         15 |
| c:\FILES\CURVE\curve\curve-ansible\check_chunkserver.yml                                                              | YAML             |          8 |         16 |          3 |         27 |
| c:\FILES\CURVE\curve\curve-ansible\check_mds.yml                                                                      | YAML             |          8 |         16 |          3 |         27 |
| c:\FILES\CURVE\curve\curve-ansible\client.ini                                                                         | Ini              |         31 |          0 |          5 |         36 |
